"StateCode","CovFormBusnIncome","BlktRated","DisplayValue","DataValue"
"CW","Business Income With Extra Expense","No","No","No"
"CW","Business Income With Extra Expense","Yes","Yes","Yes"
"CW","Business Income With Extra Expense","Yes","No","No"
"CW","Business Income Without Extra Expense","No","No","No"
"CW","Business Income Without Extra Expense","Yes","Yes","Yes"
"CW","Business Income Without Extra Expense","Yes","No","No"
"CW","Extra Expense Only","No","No","No"
"CW","Extra Expense Only","Yes","No","No"
"CW","Not Applicable","No","No","No"
"CW","Not Applicable","Yes","No","No"
