"StateCode","DisplayValue","DataValue"
"CW","25,000","25,000"
"CW","50,000","50,000"
"CW","100,000","100,000"
"CW","200,000","200,000"
"CW","500,000","500,000"
"CW","1,000,000","1,000,000"
"CW","2,000,000","2,000,000"
"CW","3,000,000","3,000,000"
"CW","4,000,000","4,000,000"
"CW","5,000,000","5,000,000"
"CW","6,000,000","6,000,000"
"CW","7,000,000","7,000,000"
"CW","8,000,000","8,000,000"
"CW","9,000,000","9,000,000"
"CW","10,000,000","10,000,000"
"CW","15,000,000","15,000,000"
"CW","20,000,000","20,000,000"
