"StateCode","BuildingClassCode","DisplayValue","DataValue"
"CW","0074","Not Applicable","Not Applicable"
"CW","0075","Not Applicable","Not Applicable"
"CW","0076","Not Applicable","Not Applicable"
"CW","0077","Not Applicable","Not Applicable"
"CW","0078","Not Applicable","Not Applicable"
"CW","0079","Not Applicable","Not Applicable"
"CW","0196","Not Applicable","Not Applicable"
"CW","0197","Not Applicable","Not Applicable"
"CW","0198","Not Applicable","Not Applicable"
"CW","0300","Not Applicable","Not Applicable"
"CW","0311","Not Applicable","Not Applicable"
"CW","0312","Not Applicable","Not Applicable"
"CW","0313","Not Applicable","Not Applicable"
"CW","0321","Not Applicable","Not Applicable"
"CW","0322","Not Applicable","Not Applicable"
"CW","0323","Not Applicable","Not Applicable"
"CW","0331","Not Applicable","Not Applicable"
"CW","0332","Not Applicable","Not Applicable"
"CW","0333","Not Applicable","Not Applicable"
"CW","0341","Not Applicable","Not Applicable"
"CW","0342","Not Applicable","Not Applicable"
"CW","0343","Not Applicable","Not Applicable"
"CW","0431","Not Applicable","Not Applicable"
"CW","0432","Not Applicable","Not Applicable"
"CW","0433","Not Applicable","Not Applicable"
"CW","0434","Not Applicable","Not Applicable"
"CW","0511","Not Applicable","Not Applicable"
"CW","0512","Not Applicable","Not Applicable"
"CW","0520","Not Applicable","Not Applicable"
"CW","0531","Not Applicable","Not Applicable"
"CW","0532","Not Applicable","Not Applicable"
"CW","0533","Not Applicable","Not Applicable"
"CW","0534","Not Applicable","Not Applicable"
"CW","0541","Not Applicable","Not Applicable"
"CW","0542","Not Applicable","Not Applicable"
"CW","0545","Not Applicable","Not Applicable"
"CW","0550","Not Applicable","Not Applicable"
"CW","0561","Not Applicable","Not Applicable"
"CW","0562","Not Applicable","Not Applicable"
"CW","0563","Not Applicable","Not Applicable"
"CW","0564","Not Applicable","Not Applicable"
"CW","0565","Not Applicable","Not Applicable"
"CW","0566","Not Applicable","Not Applicable"
"CW","0567","Not Applicable","Not Applicable"
"CW","0570","Not Applicable","Not Applicable"
"CW","0580","Not Applicable","Not Applicable"
"CW","0581","Not Applicable","Not Applicable"
"CW","0582","Not Applicable","Not Applicable"
"CW","0701","Not Applicable","Not Applicable"
"CW","0702","Not Applicable","Not Applicable"
"CW","0742","Not Applicable","Not Applicable"
"CW","0743","Not Applicable","Not Applicable"
"CW","0744","Not Applicable","Not Applicable"
"CW","0745","Not Applicable","Not Applicable"
"CW","0746","Not Applicable","Not Applicable"
"CW","0747","Not Applicable","Not Applicable"
"CW","0755","Not Applicable","Not Applicable"
"CW","0756","Not Applicable","Not Applicable"
"CW","0757","Not Applicable","Not Applicable"
"CW","0831","Not Applicable","Not Applicable"
"CW","0832","Not Applicable","Not Applicable"
"CW","0833","Not Applicable","Not Applicable"
"CW","0834","Not Applicable","Not Applicable"
"CW","0841","Not Applicable","Not Applicable"
"CW","0843","Not Applicable","Not Applicable"
"CW","0844","Not Applicable","Not Applicable"
"CW","0845","Not Applicable","Not Applicable"
"CW","0846","Not Applicable","Not Applicable"
"CW","0851","Not Applicable","Not Applicable"
"CW","0852","Not Applicable","Not Applicable"
"CW","0900","Not Applicable","Not Applicable"
"CW","0911","Not Applicable","Not Applicable"
"CW","0912","Not Applicable","Not Applicable"
"CW","0913","Not Applicable","Not Applicable"
"CW","0921","Not Applicable","Not Applicable"
"CW","0922","Not Applicable","Not Applicable"
"CW","0923","Not Applicable","Not Applicable"
"CW","0931","Not Applicable","Not Applicable"
"CW","0932","Not Applicable","Not Applicable"
"CW","0933","Not Applicable","Not Applicable"
"CW","0934","Not Applicable","Not Applicable"
"CW","0940","Not Applicable","Not Applicable"
"CW","0951","Not Applicable","Not Applicable"
"CW","0952","Not Applicable","Not Applicable"
"CW","1000","Not Applicable","Not Applicable"
"CW","1051","Not Applicable","Not Applicable"
"CW","1052","Not Applicable","Not Applicable"
"CW","1070","Not Applicable","Not Applicable"
"CW","1150","Not Applicable","Not Applicable"
"CW","1211","Not Applicable","Not Applicable"
"CW","1212","Not Applicable","Not Applicable"
"CW","1213","Not Applicable","Not Applicable"
"CW","1220","Not Applicable","Not Applicable"
"CW","1230","Not Applicable","Not Applicable"
"CW","1251","Not Applicable","Not Applicable"
"CW","1252","Not Applicable","Not Applicable"
"CW","1300","Not Applicable","Not Applicable"
"CW","1400","Yard Property - Combustible","Yard Property - Combustible"
"CW","1400","Yard Property - Non Combustible","Yard Property - Non Combustible"
"CW","1400","Personal Property Inside Building","Personal Property Inside Building"
"CW","1450","Not Applicable","Not Applicable"
"CW","1501","Not Applicable","Not Applicable"
"CW","1502","Not Applicable","Not Applicable"
"CW","1550","Not Applicable","Not Applicable"
"CW","1610","Not Applicable","Not Applicable"
"CW","1650","Yard Property - Combustible","Yard Property - Combustible"
"CW","1650","Yard Property - Non Combustible","Yard Property - Non Combustible"
"CW","1650","Personal Property Inside Building","Personal Property Inside Building"
"CW","1700","Yard Property - Combustible","Yard Property - Combustible"
"CW","1700","Yard Property - Non Combustible","Yard Property - Non Combustible"
"CW","1700","Personal Property Inside Building","Personal Property Inside Building"
"CW","1751","Not Applicable","Not Applicable"
"CW","1752","Not Applicable","Not Applicable"
"CW","2000","Not Applicable","Not Applicable"
"CW","2059","Not Applicable","Not Applicable"
"CW","2150","Not Applicable","Not Applicable"
"CW","2200","Not Applicable","Not Applicable"
"CW","2250","Not Applicable","Not Applicable"
"CW","2300","Not Applicable","Not Applicable"
"CW","2350","Not Applicable","Not Applicable"
"CW","2400","Not Applicable","Not Applicable"
"CW","2459","Not Applicable","Not Applicable"
"CW","2550","Not Applicable","Not Applicable"
"CW","2600","Not Applicable","Not Applicable"
"CW","2750","Not Applicable","Not Applicable"
"CW","2800","Not Applicable","Not Applicable"
"CW","2805","Not Applicable","Not Applicable"
"CW","3009","Not Applicable","Not Applicable"
"CW","3409","Not Applicable","Not Applicable"
"CW","3809","Not Applicable","Not Applicable"
"CW","3959","Not Applicable","Not Applicable"
"CW","4400","Not Applicable","Not Applicable"
"CW","4450","Not Applicable","Not Applicable"
"CW","4809","Not Applicable","Not Applicable"
"CW","5000","Not Applicable","Not Applicable"
"CW","5050","Not Applicable","Not Applicable"
"CW","5100","Not Applicable","Not Applicable"
"CW","5500","Not Applicable","Not Applicable"
"CW","5759","Not Applicable","Not Applicable"
"CW","6009","Not Applicable","Not Applicable"
"CW","6210","Not Applicable","Not Applicable"
"CW","6250","Not Applicable","Not Applicable"
"CW","6810","Not Applicable","Not Applicable"
"CW","6850","Not Applicable","Not Applicable"
"CW","6900","Not Applicable","Not Applicable"
"CW","7300","Not Applicable","Not Applicable"
"CW","7350","Not Applicable","Not Applicable"
"CW","7409","Not Applicable","Not Applicable"
"CW","7500","Not Applicable","Not Applicable"
"CW","7600","Not Applicable","Not Applicable"
"CW","7700","Not Applicable","Not Applicable"
