"StateCode","StateFullName","Code"
"CW","Alabama","01"
"CW","Alaska","54"
"CW","Arizona","02"
"CW","Arkansas","03"
"CW","California","04"
"CW","Colorado","05"
"CW","Connecticut","06"
"CW","Delaware","07"
"CW","District of Columbia","08"
"CW","Florida","09"
"CW","Georgia","10"
"CW","Hawaii","52"
"CW","Idaho","11"
"CW","Illinois","12"
"CW","Indiana","13"
"CW","Iowa","14"
"CW","Kansas","15"
"CW","Kentucky","16"
"CW","Louisiana","17"
"CW","Maine","18"
"CW","Maryland","19"
"CW","Massachusetts","20"
"CW","Michigan","21"
"CW","Minnesota","22"
"CW","Mississippi","23"
"CW","Missouri","24"
"CW","Montana","25"
"CW","Nebraska","26"
"CW","Nevada","27"
"CW","New Hampshire","28"
"CW","New Jersey","29"
"CW","New Mexico","30"
"CW","New York","31"
"CW","North Carolina","32"
"CW","North Dakota","33"
"CW","Ohio","34"
"CW","Oklahoma","35"
"CW","Oregon","36"
"CW","Pennsylvania","37"
"CW","Puerto Rico","58"
"CW","Rhode Island","38"
"CW","South Carolina","39"
"CW","South Dakota","40"
"CW","Tennessee","41"
"CW","Texas","42"
"CW","Utah","43"
"CW","Vermont","44"
"CW","Virginia","45"
"CW","Washington","46"
"CW","West Virginia","47"
"CW","Wisconsin","48"
"CW","Wyoming","49"
